  #time[fs]  state    s-pop           Ecorr           Etot
      0.635   1     1.000000000    17.487077683   353.846096789
      0.640   1     1.000000000    17.478859281   354.932515000
      0.645   1     1.000000000    17.456017460   355.998714682
      0.650   1     1.000000000    17.418853337   357.043581230
      0.655   1     1.000000000    17.366615518   358.066176118
      0.660   1     1.000000000    17.298500190   359.065752888
      0.665   1     1.000000000    17.215029988   360.041775304
      0.670   1     1.000000000    17.119362427   360.993937762
      0.675   1     1.000000000    17.018122532   361.922187439
      0.680   1     1.000000000    16.921520046   362.826746885
      0.685   1     1.000000000    16.842646798   363.708134992
      0.690   1     1.000000000    16.795950337   364.567183729
      0.695   1     1.000000000    16.795023196   365.405047690
      0.700   1     1.000000000    16.850047251   366.223203615
      0.705   1     1.000000000    16.965410703   367.023437616
      0.710   1     1.000000000    17.138076997   367.807818765
      0.715   1     1.000000000    17.357188194   368.578659004
      0.720   1     1.000000000    17.605145016   369.338460644
      0.725   1     1.000000000    17.860076220   370.089853973
      0.730   1     1.000000000    18.099281339   370.835528378
      0.735   1     1.000000000    18.303003759   371.578160836
      0.740   1     1.000000000    18.457790828   372.320345540
      0.745   1     1.000000000    18.558629153   373.064527876
      0.750   1     1.000000000    18.608968240   373.812945111
      0.755   1     1.000000000    18.617975817   374.567575176
      0.760   1     1.000000000    18.595437689   375.330094169
      0.765   1     1.000000000    18.546457703   376.101842834
      0.770   1     1.000000000    18.469116599   376.883802265
      0.775   1     1.000000000    18.357008094   377.676579255
      0.780   1     1.000000000    18.205541080   378.480401568
      0.785   1     1.000000000    18.018508373   379.295123073
      0.790   1     1.000000000    17.811489613   380.120238032
      0.795   1     1.000000000    17.610624364   380.954903468
      0.800   1     1.000000000    17.447464734   381.797968411
      0.805   1     1.000000000    17.351997015   382.648008974
      0.810   1     1.000000000    17.346309729   383.503368385
      0.815   1     1.000000000    17.440739722   384.362201153
      0.820   1     1.000000000    17.632973984   385.222520280
      0.825   1     1.000000000    17.909377868   386.082246087
      0.830   1     1.000000000    18.247484860   386.939254969
      0.835   1     1.000000000    18.619043914   387.791426424
      0.840   1     1.000000000    18.993457106   388.636687170
      0.845   1     1.000000000    19.341284011   389.473051668
      0.850   1     1.000000000    19.637179577   390.298658952
      0.855   1     1.000000000    19.861785506   391.111805936
      0.860   1     1.000000000    20.002491149   391.910977443
      0.865   1     1.000000000    20.053140025   392.694873056
      0.870   1     1.000000000    20.012797565   393.462430612
      0.875   1     1.000000000    19.884008622   394.212845948
      0.880   1     1.000000000    19.671590180   394.945588446
      0.885   1     1.000000000    19.383217496   395.660412028
      0.890   1     1.000000000    19.031986170   396.357361229
      0.895   1     1.000000000    18.639417186   397.036771828
      0.900   1     1.000000000    18.236609410   397.699265161
      0.905   1     1.000000000    17.861900642   398.345735121
      0.910   1     1.000000000    17.554921054   398.977327106
      0.915   1     1.000000000    17.348738057   399.595409013
      0.920   1     1.000000000    17.263022122   400.201535526
      0.925   1     1.000000000    17.300913223   400.797408108
      0.930   1     1.000000000    17.450584181   401.384833666
      0.935   1     1.000000000    17.690381447   401.965684681
      0.940   1     1.000000000    17.995063223   402.541862602
      0.945   1     1.000000000    18.340685817   403.115264951
      0.950   1     1.000000000    18.706758378   403.687755313
      0.955   1     1.000000000    19.075506618   404.261134659
      0.960   1     1.000000000    19.429091962   404.837112624
      0.965   1     1.000000000    19.746615045   405.417278210
      0.970   1     1.000000000    20.003404262   406.003070622
      0.975   1     1.000000000    20.174463228   406.595751912
      0.980   1     1.000000000    20.241478623   407.196383154
      0.985   1     1.000000000    20.199770339   407.805805041
      0.990   1     1.000000000    20.060909977   408.424622285
      0.995   1     1.000000000    19.849718488   409.053189998
      1.000   1     1.000000000    19.598125967   409.691599842
      1.005   1     1.000000000    19.339204141   410.339664605
      1.010   1     1.000000000    19.102992832   410.996901548
      1.015   1     1.000000000    18.914183909   411.662516868
      1.020   1     1.000000000    18.790992712   412.335395300
      1.025   1     1.000000000    18.744398399   413.014099695
      1.030   1     1.000000000    18.777549024   413.696885224
      1.035   1     1.000000000    18.885958223   414.381731693
      1.040   1     1.000000000    19.059111299   415.066395446
      1.045   1     1.000000000    19.283161688   415.748479863
      1.050   1     1.000000000    19.543351384   416.425520974
      1.055   1     1.000000000    19.824464013   417.095082731
      1.060   1     1.000000000    20.108836770   417.754855483
      1.065   1     1.000000000    20.374049066   418.402751159
      1.070   1     1.000000000    20.593458029   419.036989298
      1.075   1     1.000000000    20.740003846   419.656168816
      1.080   1     1.000000000    20.790744559   420.259321261
      1.085   1     1.000000000    20.731103122   420.845942232
      1.090   1     1.000000000    20.560342548   421.415998993
      1.095   1     1.000000000    20.296715113   421.969913771
      1.100   1     1.000000000    19.975931585   422.508523842
      1.105   1     1.000000000    19.640147172   423.033021600
      1.110   1     1.000000000    19.324393761   423.544880157
      1.115   1     1.000000000    19.050041319   424.045771892
      1.120   1     1.000000000    18.827344342   424.537487553
      1.125   1     1.000000000    18.661418616   425.021862067
      1.130   1     1.000000000    18.555570125   425.500710930
      1.135   1     1.000000000    18.510957163   425.975779213
      1.140   1     1.000000000    18.525721998   426.448703911
      1.145   1     1.000000000    18.596190848   426.920989538
      1.150   1     1.000000000    18.719332824   427.393995929
      1.155   1     1.000000000    18.893845588   427.868936348
      1.160   1     1.000000000    19.118500568   428.346883355
      1.165   1     1.000000000    19.388120340   428.828779618
      1.170   1     1.000000000    19.688523510   429.315450885
      1.175   1     1.000000000    19.993322373   429.807618529
      1.180   1     1.000000000    20.266418352   430.305909478
      1.185   1     1.000000000    20.471815635   430.810861794
      1.190   1     1.000000000    20.587917761   431.322924286
      1.195   1     1.000000000    20.619664864   431.842448310
      1.200   1     1.000000000    20.600109169   432.369669538
      1.205   1     1.000000000    20.576083955   432.904677816
      1.210   1     1.000000000    20.583263570   433.447375174
      1.215   1     1.000000000    20.626926363   433.997425796
      1.220   1     1.000000000    20.682467570   434.554205764
      1.225   1     1.000000000    20.713936702   435.116762561
      1.230   1     1.000000000    20.696579557   435.683793626
      1.235   1     1.000000000    20.630492033   436.253650567
      1.240   1     1.000000000    20.539385681   436.824372228
      1.245   1     1.000000000    20.455327563   437.393746511
      1.250   1     1.000000000    20.399160439   437.959398167
      1.255   1     1.000000000    20.370868558   438.518897882
      1.260   1     1.000000000    20.355585493   439.069886166
      1.265   1     1.000000000    20.337461570   439.610203052
      1.270   1     1.000000000    20.309521299   440.138011974
      1.275   1     1.000000000    20.274143535   440.651905083
      1.280   1     1.000000000    20.237818941   441.150979027
      1.285   1     1.000000000    20.207078428   441.634874520
      1.290   1     1.000000000    20.188024027   442.103778021
      1.295   1     1.000000000    20.186612920   442.558387939
      1.300   1     1.000000000    20.206742890   442.999850576
      1.305   1     1.000000000    20.246328701   443.429673030
      1.310   1     1.000000000    20.294100547   443.849621932
      1.315   1     1.000000000    20.330941671   444.261617795
      1.320   1     1.000000000    20.337229548   444.667634412
      1.325   1     1.000000000    20.302027682   445.069610931
      1.330   1     1.000000000    20.227766898   445.469381501
      1.335   1     1.000000000    20.127435503   445.868624628
      1.340   1     1.000000000    20.015835808   446.268832156
      1.345   1     1.000000000    19.900616395   446.671296017
      1.350   1     1.000000000    19.781707647   447.077109746
      1.355   1     1.000000000    19.662058635   447.487180971
      1.360   1     1.000000000    19.558141587   447.902250274
      1.365   1     1.000000000    19.496634970   448.322911264
      1.370   1     1.000000000    19.501176890   448.749627504
      1.375   1     1.000000000    19.583825426   449.182744178
      1.380   1     1.000000000    19.746005908   449.622494428
      1.385   1     1.000000000    19.982179832   450.069000819
      1.390   1     1.000000000    20.281439832   450.522271720
      1.395   1     1.000000000    20.628866239   450.982191895
      1.400   1     1.000000000    21.007546719   451.448506642
      1.405   1     1.000000000    21.398141694   451.920799776
      1.410   1     1.000000000    21.775269721   452.398467463
      1.415   1     1.000000000    22.104736862   452.880692272
      1.420   1     1.000000000    22.345997704   453.366423814
      1.425   1     1.000000000    22.462018232   453.854372964
      1.430   1     1.000000000    22.433819911   454.343025412
      1.435   1     1.000000000    22.270062826   454.830677242
      1.440   1     1.000000000    22.001500888   455.315491449
      1.445   1     1.000000000    21.661238134   455.795571473
      1.450   1     1.000000000    21.268334921   456.269046930
      1.455   1     1.000000000    20.832951075   456.734166871
      1.460   1     1.000000000    20.377485923   457.189395116
      1.465   1     1.000000000    19.950437350   457.633499714
      1.470   1     1.000000000    19.618312700   458.065626380
      1.475   1     1.000000000    19.440688257   458.485346143
      1.480   1     1.000000000    19.444439764   458.892671069
      1.485   1     1.000000000    19.611628401   459.288037655
      1.490   1     1.000000000    19.887962135   459.672263071
      1.495   1     1.000000000    20.206994890   460.046482842
      1.500   1     1.000000000    20.514367133   460.412078970
      1.505   1     1.000000000    20.778632442   460.770605526
      1.510   1     1.000000000    20.989933348   461.123716356
      1.515   1     1.000000000    21.154592473   461.473097838
      1.520   1     1.000000000    21.286090752   461.820408914
      1.525   1     1.000000000    21.390131146   462.167230382
      1.530   1     1.000000000    21.449888264   462.515025787
      1.535   1     1.000000000    21.424011973   462.865116541
      1.540   1     1.000000000    21.266128539   463.218672940
      1.545   1     1.000000000    20.957510035   463.576719496
      1.550   1     1.000000000    20.531004546   463.940148174
      1.555   1     1.000000000    20.071905945   464.309729280
      1.560   1     1.000000000    19.692934695   464.686109626
      1.565   1     1.000000000    19.491769803   465.069792024
      1.570   1     1.000000000    19.514981290   465.461097818
      1.575   1     1.000000000    19.749141273   465.860121466
      1.580   1     1.000000000    20.138352827   466.266689295
      1.585   1     1.000000000    20.613761901   466.680333075
      1.590   1     1.000000000    21.118325137   467.100284881
      1.595   1     1.000000000    21.616087110   467.525494993
      1.600   1     1.000000000    22.089385487   467.954670580
      1.605   1     1.000000000    22.531551329   468.386330091
      1.610   1     1.000000000    22.933211827   468.818866720
      1.615   1     1.000000000    23.262281068   469.250614651
      1.620   1     1.000000000    23.456737630   469.679914209
      1.625   1     1.000000000    23.449004417   470.105174571
      1.630   1     1.000000000    23.203283217   470.524932820
      1.635   1     1.000000000    22.729580501   470.937905741
      1.640   1     1.000000000    22.077066932   471.343029828
      1.645   1     1.000000000    21.330650047   471.739487164
      1.650   1     1.000000000    20.603590501   472.126717936
      1.655   1     1.000000000    20.009509945   472.504421438
      1.660   1     1.000000000    19.627693620   472.872547414
      1.665   1     1.000000000    19.484501881   473.231279734
      1.670   1     1.000000000    19.553043427   473.581014677
      1.675   1     1.000000000    19.765871008   473.922336337
      1.680   1     1.000000000    20.038875772   474.255991812
      1.685   1     1.000000000    20.300891904   474.582868341
      1.690   1     1.000000000    20.519333378   474.903973080
      1.695   1     1.000000000    20.709037778   475.220414024
      1.700   1     1.000000000    20.913453560   475.533378979
      1.705   1     1.000000000    21.168226372   475.844109827
      1.710   1     1.000000000    21.472637219   476.153872162
      1.715   1     1.000000000    21.779754330   476.463923874
      1.720   1     1.000000000    22.005575617   476.775488196
      1.725   1     1.000000000    22.062161716   477.089735951
      1.730   1     1.000000000    21.902246474   477.407778076
      1.735   1     1.000000000    21.548537386   477.730663703
      1.740   1     1.000000000    21.096373437   478.059374485
      1.745   1     1.000000000    20.686007706   478.394804673
      1.750   1     1.000000000    20.448796367   478.737719046
      1.755   1     1.000000000    20.451243957   479.088686812
      1.760   1     1.000000000    20.666520231   479.447998448
      1.765   1     1.000000000    20.993617121   479.815581587
      1.770   1     1.000000000    21.317886351   480.190937003
      1.775   1     1.000000000    21.573040805   480.573112876
      1.780   1     1.000000000    21.766317258   480.960726297
      1.785   1     1.000000000    21.957574875   481.352030377
      1.790   1     1.000000000    22.210477711   481.745018077
      1.795   1     1.000000000    22.547359782   482.137550698
      1.800   1     1.000000000    22.930049071   482.527498000
      1.805   1     1.000000000    23.269383797   482.912876295
      1.810   1     1.000000000    23.455689057   483.291970678
      1.815   1     1.000000000    23.399034369   483.663428881
      1.820   1     1.000000000    23.068081116   484.026317613
      1.825   1     1.000000000    22.515376537   484.380136487
      1.830   1     1.000000000    21.869971828   484.724789311
      1.835   1     1.000000000    21.285793919   485.060518344
      1.840   1     1.000000000    20.872267699   485.387814272
      1.845   1     1.000000000    20.654487636   485.707320319
      1.850   1     1.000000000    20.583622492   486.019749162
      1.855   1     1.000000000    20.579810786   486.325825576
      1.860   1     1.000000000    20.575914206   486.626259161
      1.865   1     1.000000000    20.540923065   486.921743710
      1.870   1     1.000000000    20.483419875   487.212974859
      1.875   1     1.000000000    20.442365832   487.500675613
      1.880   1     1.000000000    20.467146036   487.785619926
      1.885   1     1.000000000    20.594027391   488.068647280
      1.890   1     1.000000000    20.827178494   488.350665291
      1.895   1     1.000000000    21.128539284   488.632641015
      1.900   1     1.000000000    21.425693107   488.915584250
      1.905   1     1.000000000    21.640618463   489.200527347
      1.910   1     1.000000000    21.725424341   489.488505214
      1.915   1     1.000000000    21.687859800   489.780536160
      1.920   1     1.000000000    21.592725894   490.077600225
      1.925   1     1.000000000    21.534607999   490.380608769
      1.930   1     1.000000000    21.595659367   490.690359468
      1.935   1     1.000000000    21.806379558   491.007475121
      1.940   1     1.000000000    22.127086214   491.332330837
      1.945   1     1.000000000    22.464439509   491.664979494
      1.950   1     1.000000000    22.714452022   492.005088066
      1.955   1     1.000000000    22.804312222   492.351897263
      1.960   1     1.000000000    22.717537889   492.704214942
      1.965   1     1.000000000    22.510265095   493.060450387
      1.970   1     1.000000000    22.300810831   493.418691070
      1.975   1     1.000000000    22.202367472   493.776815757
      1.980   1     1.000000000    22.248009386   494.132632269
      1.985   1     1.000000000    22.380316198   494.484027205
      1.990   1     1.000000000    22.499246441   494.829114860
      1.995   1     1.000000000    22.522010709   495.166370450
      2.000   1     1.000000000    22.421898630   495.494730763
      2.005   1     1.000000000    22.232782568   495.813646423
      2.010   1     1.000000000    22.026382064   496.123076127
      2.015   1     1.000000000    21.877877046   496.423423670
      2.020   1     1.000000000    21.831413415   496.715430469
      2.025   1     1.000000000    21.876863563   497.000045660
      2.030   1     1.000000000    21.948830404   497.278299595
      2.035   1     1.000000000    21.953961564   497.551203579
      2.040   1     1.000000000    21.822242727   497.819690196
      2.045   1     1.000000000    21.552287423   498.084596624
      2.050   1     1.000000000    21.212610235   498.346681662
      2.055   1     1.000000000    20.898403306   498.606660831
      2.060   1     1.000000000    20.682720896   498.865244755
      2.065   1     1.000000000    20.592059545   499.123171185
      2.070   1     1.000000000    20.608295902   499.381225864
      2.075   1     1.000000000    20.688956335   499.640250345
      2.080   1     1.000000000    20.792686795   499.901136273
      2.085   1     1.000000000    20.897788876   500.164806372
      2.090   1     1.000000000    21.009934437   500.432183071
      2.095   1     1.000000000    21.159988794   500.704146769
      2.100   1     1.000000000    21.392919735   500.981486787
      2.105   1     1.000000000    21.745917641   501.264849122
      2.110   1     1.000000000    22.220509930   501.554685702
      2.115   1     1.000000000    22.768385063   501.851209949
      2.120   1     1.000000000    23.306337318   502.154363016
      2.125   1     1.000000000    23.747949696   502.463793720
      2.130   1     1.000000000    24.027316230   502.778853338
      2.135   1     1.000000000    24.105813116   503.098605161
      2.140   1     1.000000000    23.969042964   503.421848703
      2.145   1     1.000000000    23.632063967   503.747159147
      2.150   1     1.000000000    23.158733661   504.072943057
      2.155   1     1.000000000    22.657592989   504.397509875
      2.160   1     1.000000000    22.231890745   504.719155486
      2.165   1     1.000000000    21.926266882   505.036252358
      2.170   1     1.000000000    21.719253507   505.347341384
      2.175   1     1.000000000    21.568796514   505.651220347
      2.180   1     1.000000000    21.468856653   505.947021044
      2.185   1     1.000000000    21.457402499   506.234262720
      2.190   1     1.000000000    21.572014085   506.512868786
      2.195   1     1.000000000    21.808833913   506.783140786
      2.200   1     1.000000000    22.117498144   507.045694832
      2.205   1     1.000000000    22.422431220   507.301374340
      2.210   1     1.000000000    22.649873248   507.551156324
      2.215   1     1.000000000    22.742895112   507.796067926
      2.220   1     1.000000000    22.666567903   508.037126238
      2.225   1     1.000000000    22.420540969   508.275308091
      2.230   1     1.000000000    22.052746158   508.511547795
      2.235   1     1.000000000    21.646664801   508.746752769
      2.240   1     1.000000000    21.281281007   508.981824195
      2.245   1     1.000000000    20.995294974   509.217673026
      2.250   1     1.000000000    20.784482817   509.455226740
      2.255   1     1.000000000    20.635666231   509.695424767
      2.260   1     1.000000000    20.561482432   509.939200096
      2.265   1     1.000000000    20.598138032   510.187444404
      2.270   1     1.000000000    20.780405098   510.440956788
      2.275   1     1.000000000    21.123303893   510.700381095
      2.280   1     1.000000000    21.612663095   510.966141124
      2.285   1     1.000000000    22.205570260   511.238385335
      2.290   1     1.000000000    22.840019452   511.516952171
      2.295   1     1.000000000    23.448245840   511.801363620
      2.300   1     1.000000000    23.974050859   512.090849441
      2.305   1     1.000000000    24.383503872   512.384398544
      2.310   1     1.000000000    24.651789414   512.680828428
      2.315   1     1.000000000    24.741512224   512.978860811
      2.320   1     1.000000000    24.607321118   513.277192998
      2.325   1     1.000000000    24.229067286   513.574557777
      2.330   1     1.000000000    23.645953902   513.869767522
      2.335   1     1.000000000    22.964010998   514.161741014
      2.340   1     1.000000000    22.322114983   514.449515162
      2.345   1     1.000000000    21.831198847   514.732247490
      2.350   1     1.000000000    21.526536224   515.009217802
      2.355   1     1.000000000    21.372774938   515.279837447
      2.360   1     1.000000000    21.320914209   515.543671024
      2.365   1     1.000000000    21.357893101   515.800468283
      2.370   1     1.000000000    21.498655073   516.050196017
      2.375   1     1.000000000    21.739458400   516.293056526
      2.380   1     1.000000000    22.030683602   516.529483756
      2.385   1     1.000000000    22.301282335   516.760117470
      2.390   1     1.000000000    22.503818873   516.985763160
      2.395   1     1.000000000    22.623490645   517.207347009
      2.400   1     1.000000000    22.651920153   517.425873438
      2.405   1     1.000000000    22.570104249   517.642391684
      2.410   1     1.000000000    22.364758405   517.857976039
      2.415   1     1.000000000    22.060835078   518.073719053
      2.420   1     1.000000000    21.724676964   518.290729868
      2.425   1     1.000000000    21.427230655   518.510126220
      2.430   1     1.000000000    21.208801146   518.733011755
      2.435   1     1.000000000    21.086884857   518.960436400
      2.440   1     1.000000000    21.088963189   519.193341209
      2.445   1     1.000000000    21.255777413   519.432490140
      2.450   1     1.000000000    21.598873399   519.678394408
      2.455   1     1.000000000    22.065949532   519.931241541
      2.460   1     1.000000000    22.566301052   520.190846043
      2.465   1     1.000000000    23.027551295   520.456635944
      2.470   1     1.000000000    23.425597879   520.727680907
      2.475   1     1.000000000    23.776677922   521.002758628
      2.480   1     1.000000000    24.100923542   521.280449555
      2.485   1     1.000000000    24.382913717   521.559246351
      2.490   1     1.000000000    24.568521588   521.837664794
      2.495   1     1.000000000    24.590490233   522.114344185
      2.500   1     1.000000000    24.404496686   522.388125958
      2.505   1     1.000000000    24.019796935   522.658100195
      2.510   1     1.000000000    23.504360948   522.923613119
      2.515   1     1.000000000    22.963667599   523.184236452
      2.520   1     1.000000000    22.505692252   523.439709950
      2.525   1     1.000000000    22.197088517   523.689875821
      2.530   1     1.000000000    22.028717070   523.934624232
      2.535   1     1.000000000    21.932840018   524.173864333
      2.540   1     1.000000000    21.846125280   524.407527464
      2.545   1     1.000000000    21.757519996   524.635599460
      2.550   1     1.000000000    21.702233901   524.858169580
      2.555   1     1.000000000    21.708769189   525.075478819
      2.560   1     1.000000000    21.759268382   525.287952623
      2.565   1     1.000000000    21.814384268   525.496211023
      2.570   1     1.000000000    21.864943497   525.701056910
      2.575   1     1.000000000    21.936171208   525.903446706
      2.580   1     1.000000000    22.038641911   526.104449016
      2.585   1     1.000000000    22.138375908   526.305199002
      2.590   1     1.000000000    22.187041631   526.506857153
      2.595   1     1.000000000    22.171485109   526.710577252
      2.600   1     1.000000000    22.128353982   526.917480873
      2.605   1     1.000000000    22.114213701   527.128630188
      2.610   1     1.000000000    22.165900912   527.344990433
      2.615   1     1.000000000    22.290379302   527.567377129
      2.620   1     1.000000000    22.490990777   527.796388823
      2.625   1     1.000000000    22.779321814   528.032332174
      2.630   1     1.000000000    23.124664742   528.275151967
      2.635   1     1.000000000    23.423806663   528.524384426
      2.640   1     1.000000000    23.575835801   528.779153890
      2.645   1     1.000000000    23.579672224   529.038223688
      2.650   1     1.000000000    23.537090176   529.300094585
      2.655   1     1.000000000    23.555464522   529.563130221
      2.660   1     1.000000000    23.662498504   529.825687009
      2.665   1     1.000000000    23.811279978   530.086232956
      2.670   1     1.000000000    23.927770994   530.343446129
      2.675   1     1.000000000    23.949687737   530.596285453
      2.680   1     1.000000000    23.851632160   530.844026880
      2.685   1     1.000000000    23.651304917   531.086259963
      2.690   1     1.000000000    23.399485033   531.322846034
      2.695   1     1.000000000    23.159682775   531.553847896
      2.700   1     1.000000000    22.977824646   531.779447862
      2.705   1     1.000000000    22.850323772   531.999873409
      2.710   1     1.000000000    22.720719320   532.215347550
      2.715   1     1.000000000    22.524025869   532.426074419
      2.720   1     1.000000000    22.243955797   532.632260412
      2.725   1     1.000000000    21.928694237   532.834160640
      2.730   1     1.000000000    21.646630883   533.032133896
      2.735   1     1.000000000    21.428586062   533.226688836
      2.740   1     1.000000000    21.268171592   533.418508837
      2.745   1     1.000000000    21.168135932   533.608449839
      2.750   1     1.000000000    21.166172327   533.797511400
      2.755   1     1.000000000    21.307113530   533.986785998
      2.760   1     1.000000000    21.589587519   534.177395415
      2.765   1     1.000000000    21.952871325   534.370425464
      2.770   1     1.000000000    22.322811362   534.566870224
      2.775   1     1.000000000    22.665361745   534.767592752
