# root          Ritz Values (Real)          Ritz Values (Imag)          Residuals
   
     1             0.1000000012E+001             0.2190422775E-014             0.7673463997E-011
     2             0.2000355628E+001             0.4970629233E-014             0.1035670162E-010
     3             0.2190893527E+001            -0.1708104445E-013             0.1000167494E-010
     4             0.3000622560E+001             0.4415689223E-015             0.7873409116E-011
     5             0.3191149378E+001            -0.2785737110E-013             0.7544272908E-011
     6             0.3286342838E+001             0.5379896805E-013             0.1687191125E-010
