# root          Ritz Values (Real)          Ritz Values (Imag)          Residuals
   
     1             0.5858444891E-012            -0.2128492091E-013             0.1914950189E-011
     2             0.1000000000E+001            -0.1198842656E-013             0.2952040907E-011
     3             0.2189063727E+001            -0.2686405390E-013             0.2629073850E-011
     4             0.3283595590E+001            -0.7110710658E-013             0.2840102975E-011
